site;var_name;value;exceldate
Ahaus;mean temperature;18.10;18796
Ahaus;mean temperature;14.40;18797
Ahaus;mean temperature;14.10;18798
Ahaus;mean temperature;15.00;18799
Ahaus;mean temperature;19.50;18800
Ahaus;mean temperature;18.50;18801
Ahaus;mean temperature;18.30;18802
Ahaus;mean temperature;14.20;18803
Ahaus;mean temperature;14.60;18804
Ahaus;mean temperature;12.30;18805
Ahaus;mean temperature;12.80;18806
Ahaus;mean temperature;13.40;18807
Ahaus;mean temperature;12.40;18808
Ahaus;mean temperature;12.80;18809
Ahaus;mean temperature;14.90;18810
Ahaus;mean temperature;18.50;18811
Ahaus;mean temperature;18.10;18812
Ahaus;mean temperature;13.70;18813
Ahaus;mean temperature;11.90;18814
Ahaus;mean temperature;16.10;18815
Ahaus;mean temperature;18.40;18816
Ahaus;mean temperature;19.20;18817
Ahaus;mean temperature;17.10;18818
Ahaus;mean temperature;20.10;18819
Ahaus;mean temperature;20.10;18820
Ahaus;mean temperature;17.50;18821
Ahaus;mean temperature;16.60;18822
Ahaus;mean temperature;16.40;18823
Ahaus;mean temperature;12.10;18824
Ahaus;mean temperature;15.00;18825
Ahaus;mean temperature;18.10;18826
Ahaus;mean temperature;14.90;18827
Ahaus;mean temperature;15.90;18828
Ahaus;mean temperature;16.40;18829
Ahaus;mean temperature;15.30;18830
Ahaus;mean temperature;19.00;18831
Ahaus;mean temperature;17.60;18832
Ahaus;mean temperature;15.40;18833
Ahaus;mean temperature;15.60;18834
Ahaus;mean temperature;15.30;18835
Ahaus;mean temperature;17.80;18836
Ahaus;mean temperature;19.20;18837
Ahaus;mean temperature;18.60;18838
Ahaus;mean temperature;18.70;18839
Ahaus;mean temperature;22.10;18840
Ahaus;mean temperature;20.50;18841
Ahaus;mean temperature;19.60;18842
Ahaus;mean temperature;21.70;18843
Ahaus;mean temperature;19.60;18844
Ahaus;mean temperature;17.00;18845
Ahaus;mean temperature;20.20;18846
Ahaus;mean temperature;18.90;18847
Ahaus;mean temperature;16.80;18848
Ahaus;mean temperature;16.00;18849
Ahaus;mean temperature;15.00;18850
Ahaus;mean temperature;15.40;18851
Ahaus;mean temperature;15.70;18852
Ahaus;mean temperature;13.70;18853
Ahaus;mean temperature;13.60;18854
Ahaus;mean temperature;13.80;18855
Ahaus;mean temperature;13.50;18856
Ahaus;mean temperature;15.00;18857
Ahaus;mean temperature;16.60;18858
Ahaus;mean temperature;18.50;18859
Ahaus;mean temperature;16.20;18860
Ahaus;mean temperature;16.10;18861
Ahaus;mean temperature;17.10;18862
Ahaus;mean temperature;17.40;18863
Ahaus;mean temperature;18.60;18864
Ahaus;mean temperature;15.80;18865
Ahaus;mean temperature;17.10;18866
Ahaus;mean temperature;14.60;18867
Ahaus;mean temperature;17.30;18868
Ahaus;mean temperature;19.30;18869
Ahaus;mean temperature;20.00;18870
Ahaus;mean temperature;15.70;18871
Ahaus;mean temperature;14.70;18872
Ahaus;mean temperature;14.60;18873
Ahaus;mean temperature;13.50;18874
Ahaus;mean temperature;17.50;18875
Ahaus;mean temperature;20.10;18876
Ahaus;mean temperature;19.90;18877
Ahaus;mean temperature;18.40;18878
Ahaus;mean temperature;16.30;18879
Ahaus;mean temperature;18.10;18880
Ahaus;mean temperature;19.60;18881
Ahaus;mean temperature;19.50;18882
Ahaus;mean temperature;21.20;18883
Ahaus;mean temperature;21.20;18884
Ahaus;mean temperature;14.90;18885
Ahaus;mean temperature;17.10;18886
Ahaus;mean temperature;14.90;18887
Ahaus;mean temperature;11.10;18888
Ahaus;mean temperature;11.30;18889
Ahaus;mean temperature;10.50;18890
Ahaus;mean temperature;10.00;18891
Ahaus;mean temperature;9.20;18892
Ahaus;mean temperature;11.40;18893
Ahaus;mean temperature;15.10;18894
Ahaus;mean temperature;13.40;18895
Ahaus;mean temperature;13.90;18896
Ahaus;mean temperature;13.10;18897
Ahaus;mean temperature;13.60;18898
Ahaus;mean temperature;13.90;18899
Ahaus;mean temperature;14.20;18900
Ahaus;mean temperature;12.80;18901
Ahaus;mean temperature;13.40;18902
Ahaus;mean temperature;12.00;18903
Ahaus;mean temperature;11.20;18904
Ahaus;mean temperature;10.60;18905
Ahaus;mean temperature;10.20;18906
Ahaus;mean temperature;10.00;18907
Ahaus;mean temperature;6.80;18908
Ahaus;mean temperature;7.30;18909
Ahaus;mean temperature;8.30;18910
Ahaus;mean temperature;7.10;18911
Ahaus;mean temperature;6.70;18912
Ahaus;mean temperature;7.70;18913
Ahaus;mean temperature;8.60;18914
Ahaus;mean temperature;9.10;18915
Ahaus;mean temperature;6.80;18916
Ahaus;mean temperature;7.30;18917
Ahaus;mean temperature;5.40;18918
Ahaus;mean temperature;6.70;18919
Ahaus;mean temperature;4.00;18920
Ahaus;mean temperature;6.10;18921
Ahaus;mean temperature;8.70;18922
Ahaus;mean temperature;6.00;18923
Ahaus;mean temperature;3.60;18924
Ahaus;mean temperature;4.20;18925
Ahaus;mean temperature;5.10;18926
Ahaus;mean temperature;7.10;18927
Ahaus;mean temperature;7.90;18928
Ahaus;mean temperature;8.60;18929
Ahaus;mean temperature;9.60;18930
Ahaus;mean temperature;10.90;18931
Ahaus;mean temperature;9.30;18932
Ahaus;mean temperature;7.70;18933
Ahaus;mean temperature;7.80;18934
Ahaus;mean temperature;6.00;18935
Ahaus;mean temperature;5.20;18936
Ahaus;mean temperature;7.80;18937
Ahaus;mean temperature;8.80;18938
Ahaus;mean temperature;10.60;18939
Ahaus;mean temperature;10.50;18940
Ahaus;mean temperature;10.10;18941
Ahaus;mean temperature;10.30;18942
Ahaus;mean temperature;9.20;18943
Ahaus;mean temperature;7.30;18944
Ahaus;mean temperature;7.90;18945
Ahaus;mean temperature;7.10;18946
Ahaus;mean temperature;8.40;18947
Ahaus;mean temperature;10.10;18948
Ahaus;mean temperature;9.70;18949
Ahaus;mean temperature;11.60;18950
Ahaus;mean temperature;8.50;18951
Ahaus;mean temperature;8.50;18952
Ahaus;mean temperature;7.50;18953
Ahaus;mean temperature;6.10;18954
Ahaus;mean temperature;6.10;18955
Ahaus;mean temperature;12.00;18956
Ahaus;mean temperature;5.90;18957
Ahaus;mean temperature;3.80;18958
Ahaus;mean temperature;6.10;18959
Ahaus;mean temperature;5.60;18960
Ahaus;mean temperature;5.20;18961
Ahaus;mean temperature;8.90;18962
Ahaus;mean temperature;6.50;18963
Ahaus;mean temperature;3.80;18964
Ahaus;mean temperature;3.40;18965
Ahaus;mean temperature;8.80;18966
Ahaus;mean temperature;8.90;18967
Ahaus;mean temperature;4.90;18968
Ahaus;mean temperature;3.80;18969
Ahaus;mean temperature;6.50;18970
Ahaus;mean temperature;6.40;18971
Ahaus;mean temperature;2.10;18972
Ahaus;mean temperature;1.70;18973
Ahaus;mean temperature;-1.00;18974
Ahaus;mean temperature;-2.10;18975
Ahaus;mean temperature;-1.00;18976
Ahaus;mean temperature;3.70;18977
Ahaus;mean temperature;6.80;18978
Ahaus;mean temperature;7.10;18979
Ahaus;mean temperature;5.10;18980
Ahaus;mean temperature;3.70;18981
Ahaus;mean temperature;4.60;18982
Ahaus;mean temperature;5.60;18983
Ahaus;mean temperature;4.20;18984
Ahaus;mean temperature;4.80;18985
Ahaus;mean temperature;6.80;18986
Ahaus;mean temperature;7.70;18987
Ahaus;mean temperature;4.90;18988
Ahaus;mean temperature;3.80;18989
Ahaus;mean temperature;3.60;18990
