STID;site;state;lat;lon;alt;Year;cultivar;YOR;N_fert;Y_max;soil;SQ;MAP;MAT;ACWB;trial;GP_P_mean;GP_P_sum;GP_T_max;GP_T_mean;GP_T_min;GS_P_mean;GS_P_sum;GS_T_max;GS_T_mean;GS_T_min;GS_TD;GS_TD_mean;SP_CWBm_J;SP_CWBneg_n_H;SP_CWBs_J;SP_ETPm_J;SP_ETPs_J;SP_P_mean;SP_P_sum;SP_T_max;SP_T_mean;SP_T_min;SP_TD;SP_TD_mean
87;Gross Gerau;H;49.93;8.5;90;1991;Ares;1983;144.4;53.2;ls;57.5;637.4;10.6;235.5;7;1.55;73;24;19.3;13.7;1.34;356;12.1;8.2;3.8;2262.1;9.8;-3.01;33;-108.64;3.74;134.74;0.72;26.1;17.5;12.6;6.1;454.5;12.6
88;Gross Gerau;H;49.93;8.5;90;1991;Greif;1989;174.3;57.5;ls;57.5;637.4;10.6;235.5;8;1.55;73;24;19.3;13.7;1.34;356;12.1;8.2;3.8;2262.1;9.8;-3.01;33;-108.64;3.74;134.74;0.72;26.1;17.5;12.6;6.1;454.5;12.6
89;Gross Gerau;H;49.93;8.5;90;1991;Apollo;1984;154.7;53.1;ls;57.5;637.4;10.6;235.5;9;1.55;73;24;19.3;13.7;1.34;356;12.1;8.2;3.8;2262.1;9.8;-3.01;33;-108.64;3.74;134.74;0.72;26.1;17.5;12.6;6.1;454.5;12.6
91;Ihinger Hof;BW;48.74;8.92;480;2003;Transit;1994;164.1;70.7;ll;74;741.1;8.9;413.9;1;1.6;83.3;26.4;20;13.6;1.55;412.3;12.9;8.1;3.4;2318.5;10.3;-2;33;-78.15;3.59;140.25;1.59;62.1;19.4;13.7;7.9;535.4;13.7
92;Ihinger Hof;BW;48.74;8.92;480;2003;Transit;1994;200.7;66.8;ll;74;741.1;8.9;413.9;2;1.6;83.3;26.4;20;13.6;1.55;412.3;12.9;8.1;3.4;2318.5;10.3;-2;33;-78.15;3.59;140.25;1.59;62.1;19.4;13.7;7.9;535.4;13.7
101;Hohenschulen;SH;54.31;9.98;25;1975;Diplomat;1966;189.8;70.3;sl;66;825.7;8.7;581.1;1;1.53;78.2;22.7;17.4;11.6;2.03;566.6;11.6;8.1;4.6;2276.2;8.5;-1.71;31;-68.59;2.94;117.99;1.23;49.4;16.7;11.7;7.2;468.3;11.7
102;Hohenschulen;SH;54.31;9.98;25;1976;Maris-Huntsman;1975;210;56.8;sl;66;825.7;8.7;581.1;2;1.06;50.1;24.4;18;11.8;1.61;454.4;10.6;6.9;3.1;2042.5;8.7;-2.21;31;-81.98;3.45;127.78;1.23;45.8;17.9;12.9;7.6;476.2;12.9
103;Hohenschulen;SH;54.31;9.98;25;1976;Maris-Huntsman;1975;238.4;60.4;sl;66;825.7;8.7;581.1;3;1.06;50.1;24.4;18;11.8;1.61;454.4;10.6;6.9;3.1;2042.5;8.7;-2.21;31;-81.98;3.45;127.78;1.23;45.8;17.9;12.9;7.6;476.2;12.9
105;Hohenschulen;SH;54.31;9.98;25;1976;Carimulti;1975;273.9;58.6;sl;66;825.7;8.7;581.1;5;1.06;50.1;24.4;18;11.8;1.61;454.4;10.6;6.9;3.1;2042.5;8.7;-2.21;31;-81.98;3.45;127.78;1.23;45.8;17.9;12.9;7.6;476.2;12.9
106;Hohenschulen;SH;54.31;9.98;25;1976;Diplomat;1966;173.8;52.3;sl;66;825.7;8.7;581.1;6;1.06;50.1;24.4;18;11.8;1.61;454.4;10.6;6.9;3.1;2042.5;8.7;-2.21;31;-81.98;3.45;127.78;1.23;45.8;17.9;12.9;7.6;476.2;12.9
111;Ihinger Hof;BW;48.74;8.92;480;2004;Enorm;2002;171.5;75.9;ll;74;741.1;8.9;413.9;1;1.58;92.1;22.3;16.7;10.3;1.53;396.6;12;7.6;2.9;2049.6;9.6;-1.89;40;-90.77;3.12;150.17;1.23;59.4;16.9;11.7;5.9;562.7;11.7
112;Ihinger Hof;BW;48.74;8.92;480;2005;Enorm;2002;200;80;ll;74;741.1;8.9;413.9;2;2.2;130.2;23.2;17.8;10.8;1.78;504.7;11.4;7.3;2.1;2275.6;10.3;-0.95;31;-43.95;3.23;148.75;2.27;104.8;17.4;12.2;5.8;559.9;12.2
121;Harste;NDS;51.6;9.87;140;1985;Kronjuwel;1980;167.6;68;ll;85.5;720.9;9.1;417.5;1;2.52;141.4;19.8;15.8;10.9;1.87;516.4;9.9;6.7;2.8;2142.4;9.4;0.52;15;12.59;3.84;92.31;4.37;104.9;19.2;14.9;9.7;356.7;14.9
122;Harste;NDS;51.6;9.87;140;1985;Grananda;1980;190;66.4;ll;85.5;720.9;9.1;417.5;2;2.52;141.4;19.8;15.8;10.9;1.87;516.4;9.9;6.7;2.8;2142.4;9.4;0.52;15;12.59;3.84;92.31;4.37;104.9;19.2;14.9;9.7;356.7;14.9
123;Harste;NDS;51.6;9.87;140;1985;Gï¿½ï;1978;190;75.5;ll;85.5;720.9;9.1;417.5;3;2.52;141.4;19.8;15.8;10.9;1.87;516.4;9.9;6.7;2.8;2142.4;9.4;0.52;15;12.59;3.84;92.31;4.37;104.9;19.2;14.9;9.7;356.7;14.9
