STID;site;state;lat;lon;alt;Year;cultivar;YOR;N_fert;Y_max;soil;SQ;MAP;MAT;ACWB;trial;GP_P_mean;GP_P_sum;GP_T_max;GP_T_mean;GP_T_min;GS_P_mean;GS_P_sum;GS_T_max;GS_T_mean;GS_T_min;GS_TD;GS_TD_mean;SP_CWBm_J;SP_CWBneg_n_H;SP_CWBs_J;SP_ETPm_J;SP_ETPs_J;SP_P_mean;SP_P_sum;SP_T_max;SP_T_mean;SP_T_min;SP_TD;SP_TD_mean
321;Hausen;BY;49.68;11.02;280;2004;Cubus;2002;258;80.4;ll;73.5;729;9.1;379.8;1;1.79;68.3;21.4;16.4;10.4;1.58;406.1;10.6;6.8;2.2;1825.7;8.6;-1.04;32;-41.96;3.31;132.66;2.26;90.7;17.4;12.5;6.1;500.3;12.5
322;Hausen;BY;49.68;11.02;280;2005;Cubus;2002;188.3;85;ll;73.5;729;9.1;379.8;2;1.2;43.5;23.3;18.2;11.4;1.77;476.8;10.5;6.9;2.3;2013.8;9.3;-1.68;24;-55.55;3.85;127.05;2.16;71.5;18.9;13.7;7.3;450.8;13.7
323;Hausen;BY;49.68;11.02;280;2006;Cubus;2002;250.5;82;ll;73.5;729;9.1;379.8;3;2.06;47.6;26;20.2;12.6;1.88;487.1;9.5;6;1.5;1729;8.9;0.78;20;23.57;3.31;99.33;4.09;122.9;17.3;13;7.7;389.5;13
324;Schrobenhausen;BY;48.56;11.26;415;2004;Cubus;2002;240;82.7;ls;48;797.9;8.5;498.6;4;1.83;102.6;22.8;17;11.1;1.84;488.4;11.4;6.9;2.4;1975.3;9.5;-1.39;21;-38.93;3.27;91.63;1.88;52.7;17.8;12.3;6.2;343.2;12.3
325;Schrobenhausen;BY;48.56;11.26;415;2005;Cubus;2002;216.5;75.9;ls;48;797.9;8.5;498.6;5;2.81;126.6;24.7;19;12.8;2.02;539.7;11;6.7;2.1;2041.1;10.3;-0.97;27;-40.02;3.83;157.32;2.86;117.3;18.9;13.3;7.3;544.4;13.3
326;Piering;BY;48.82;12.57;345;2004;Cubus;2002;232.6;79.6;tu;76.5;769.8;8.5;468.7;6;2.5;125.1;22.2;16.6;10.7;1.69;450.3;10.8;6.4;1.8;1872.6;8.8;-1.75;33;-64.88;3.34;123.68;1.58;58.8;18.1;12.6;5.9;464.8;12.6
328;Piering;BY;48.82;12.57;345;2006;Cubus;2002;241.3;77;tu;76.5;769.8;8.5;468.7;8;3.54;117;27.5;21.1;14.2;1.93;517.4;9.9;5.8;1.4;1900.6;10.3;-1.53;29;-62.89;4.03;165.39;2.5;102.5;20;14.4;8.2;588.6;14.4
344;Dahlem;B;52.46;13.29;50;1996;Greif;1989;76.9;71.5;ls;48;580.4;9.6;198;4;1.81;109.1;21.6;16.8;11.7;1.38;409.8;9.7;6;2;2109.7;10;1.34;22;47.24;2.67;93.66;4.02;140.9;16.6;12.5;8.3;437.5;12.5
345;Dahlem;B;52.46;13.29;50;1997;Greif;1989;107.5;45.1;ls;48;580.4;9.6;198;5;1.43;70.5;23.4;18.3;12.5;1.22;341.1;11.1;7.3;3.1;2229.8;9.4;-1.94;33;-79.71;3.43;141.01;1.49;61.3;17.9;12.8;7.2;526.5;12.8
346;Dahlem;B;52.46;13.29;50;1998;Greif;1989;92;90.6;ls;48;580.4;9.6;198;6;;;;;;;;;;;;;-3.21;35;-128.41;3.66;146.61;0.45;18.2;18.4;13.4;7.7;537.4;13.4
668;Hohenschulen;SH;54.31;9.98;25;1977;Diplomat;1966;234.98;80.02;sl;66;825.7;8.7;581.1;8;1.71;92.4;20.8;16;11.9;1.81;546.6;10.5;7.2;3.9;2229.8;8.4;-1.91;36;-86.05;3.24;145.95;1.33;59.9;17.5;12.4;7.2;558;12.4
669;Hohenschulen;SH;54.31;9.98;25;1978;Diplomat;1966;254.34;79.16;sl;66;825.7;8.7;581.1;9;2.41;154.8;19.4;15.1;10.8;2.31;681.7;10.8;7.4;3.9;2255.7;8.5;-2.27;32;-88.79;3.68;143.79;1.41;55;19;13.6;8;532.3;13.6
810;Gross Gerau;H;49.93;8.5;90;1991;Hai;1991;177.1;56;ls;57.5;637.4;10.6;235.5;10;1.55;73;24;19.3;13.7;1.34;356;12.1;8.2;3.8;2262.1;9.8;-3.01;33;-108.64;3.74;134.74;0.72;26.1;17.5;12.6;6.1;454.5;12.6
811;Gross Gerau;H;49.93;8.5;90;1992;Rektor;1980;147.1;53.3;ls;57.5;637.4;10.6;235.5;11;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
812;Gross Gerau;H;49.93;8.5;90;1992;Topas;1989;200.2;60.5;ls;57.5;637.4;10.6;235.5;12;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
813;Gross Gerau;H;49.93;8.5;90;1992;Astron;1989;168.3;59;ls;57.5;637.4;10.6;235.5;13;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
814;Gross Gerau;H;49.93;8.5;90;1992;Kraka;1982;176.9;60.3;ls;57.5;637.4;10.6;235.5;14;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
815;Gross Gerau;H;49.93;8.5;90;1992;Kanzler;1980;176.8;60;ls;57.5;637.4;10.6;235.5;15;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
816;Gross Gerau;H;49.93;8.5;90;1992;Batis;1994;170.8;64.1;ls;57.5;637.4;10.6;235.5;16;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
817;Gross Gerau;H;49.93;8.5;90;1992;Orestis;1988;170.2;60.5;ls;57.5;637.4;10.6;235.5;17;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
818;Gross Gerau;H;49.93;8.5;90;1992;Ares;1983;181.7;58.2;ls;57.5;637.4;10.6;235.5;18;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
819;Gross Gerau;H;49.93;8.5;90;1992;Greif;1989;148.1;61.6;ls;57.5;637.4;10.6;235.5;19;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
820;Gross Gerau;H;49.93;8.5;90;1992;Apollo;1984;176.7;59.1;ls;57.5;637.4;10.6;235.5;20;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
821;Gross Gerau;H;49.93;8.5;90;1992;Hai;1991;175;64.5;ls;57.5;637.4;10.6;235.5;21;2.8;137.2;23.3;18.6;13.4;1.59;396.7;12.3;8.6;4.2;2194.9;9.8;-4.88;23;-117.14;5.63;135.34;0.75;18.2;22.9;17;9.8;408.2;17
822;Gross Gerau;H;49.93;8.5;90;1993;Rektor;1980;164.7;59.4;ls;57.5;637.4;10.6;235.5;22;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
823;Gross Gerau;H;49.93;8.5;90;1993;Topas;1989;160.6;63.2;ls;57.5;637.4;10.6;235.5;23;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
824;Gross Gerau;H;49.93;8.5;90;1993;Astron;1989;160;60.2;ls;57.5;637.4;10.6;235.5;24;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
825;Gross Gerau;H;49.93;8.5;90;1993;Kraka;1982;193.2;60.8;ls;57.5;637.4;10.6;235.5;25;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
826;Gross Gerau;H;49.93;8.5;90;1993;Kanzler;1980;174.9;56.8;ls;57.5;637.4;10.6;235.5;26;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
827;Gross Gerau;H;49.93;8.5;90;1993;Batis;1994;164.6;66.2;ls;57.5;637.4;10.6;235.5;27;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
828;Gross Gerau;H;49.93;8.5;90;1993;Orestis;1988;179.9;67.3;ls;57.5;637.4;10.6;235.5;28;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
829;Gross Gerau;H;49.93;8.5;90;1993;Ares;1983;155.7;64.9;ls;57.5;637.4;10.6;235.5;29;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
830;Gross Gerau;H;49.93;8.5;90;1993;Greif;1989;161.9;61.8;ls;57.5;637.4;10.6;235.5;30;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
831;Gross Gerau;H;49.93;8.5;90;1993;Apollo;1984;158.1;67.3;ls;57.5;637.4;10.6;235.5;31;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
832;Gross Gerau;H;49.93;8.5;90;1993;Hai;1991;175.9;63;ls;57.5;637.4;10.6;235.5;32;0.69;32.5;24.3;19.2;12.5;1.14;279.2;13;9.1;4.4;2285.3;10.8;-3.33;26;-103.44;4.91;152.34;1.57;48.9;22.4;16.9;10.7;524.8;16.9
833;Rauischholzhausen;H;50.76;8.87;230;1991;Rektor;1980;196.1;73.1;ll;84;658.7;8.9;358.7;33;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
834;Rauischholzhausen;H;50.76;8.87;230;1991;Topas;1989;191.2;75.5;ll;84;658.7;8.9;358.7;34;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
835;Rauischholzhausen;H;50.76;8.87;230;1991;Astron;1989;197.4;77.8;ll;84;658.7;8.9;358.7;35;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
836;Rauischholzhausen;H;50.76;8.87;230;1991;Kraka;1982;186.1;80.5;ll;84;658.7;8.9;358.7;36;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
837;Rauischholzhausen;H;50.76;8.87;230;1991;Kanzler;1980;219.1;77.2;ll;84;658.7;8.9;358.7;37;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
838;Rauischholzhausen;H;50.76;8.87;230;1991;Orestis;1988;201.7;81.6;ll;84;658.7;8.9;358.7;38;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
839;Rauischholzhausen;H;50.76;8.87;230;1991;Ares;1983;198.1;78.6;ll;84;658.7;8.9;358.7;39;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
840;Rauischholzhausen;H;50.76;8.87;230;1991;Greif;1989;173.8;77.2;ll;84;658.7;8.9;358.7;40;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
841;Rauischholzhausen;H;50.76;8.87;230;1991;Apollo;1984;176.4;77.3;ll;84;658.7;8.9;358.7;41;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
842;Rauischholzhausen;H;50.76;8.87;230;1991;Hai;1991;187.8;79.2;ll;84;658.7;8.9;358.7;42;2.4;105.7;22.8;17.9;11.4;1.62;464.3;10.8;6.8;1.9;2097;8.7;-1.43;43;-73.07;2.89;147.47;1.45;74.4;15.5;10.8;4.7;549.8;10.8
843;Rauischholzhausen;H;50.76;8.87;230;1992;Rektor;1980;200.2;69.4;ll;84;658.7;8.9;358.7;43;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
844;Rauischholzhausen;H;50.76;8.87;230;1992;Topas;1989;200;71.6;ll;84;658.7;8.9;358.7;44;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
845;Rauischholzhausen;H;50.76;8.87;230;1992;Astron;1989;200;76.7;ll;84;658.7;8.9;358.7;45;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
846;Rauischholzhausen;H;50.76;8.87;230;1992;Kraka;1982;224.9;79.7;ll;84;658.7;8.9;358.7;46;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
847;Rauischholzhausen;H;50.76;8.87;230;1992;Kanzler;1980;212.8;79.1;ll;84;658.7;8.9;358.7;47;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
848;Rauischholzhausen;H;50.76;8.87;230;1992;Batis;1994;234.5;79.8;ll;84;658.7;8.9;358.7;48;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
849;Rauischholzhausen;H;50.76;8.87;230;1992;Orestis;1988;199.5;81.7;ll;84;658.7;8.9;358.7;49;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
850;Rauischholzhausen;H;50.76;8.87;230;1992;Ares;1983;177;75.3;ll;84;658.7;8.9;358.7;50;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
851;Rauischholzhausen;H;50.76;8.87;230;1992;Greif;1989;200;73.5;ll;84;658.7;8.9;358.7;51;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
852;Rauischholzhausen;H;50.76;8.87;230;1992;Apollo;1984;200;77.3;ll;84;658.7;8.9;358.7;52;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
853;Rauischholzhausen;H;50.76;8.87;230;1992;Hai;1991;181.2;78.8;ll;84;658.7;8.9;358.7;53;3.74;183.4;22.8;17.5;11.4;1.8;495.7;11.5;7.4;2.7;2125.7;8.7;-2.12;30;-80.67;4.43;168.37;2.3;87.7;20.3;14.7;6.8;557.9;14.7
854;Rauischholzhausen;H;50.76;8.87;230;1993;Rektor;1980;220.7;81.2;ll;84;658.7;8.9;358.7;54;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
855;Rauischholzhausen;H;50.76;8.87;230;1993;Topas;1989;214;84.1;ll;84;658.7;8.9;358.7;55;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
856;Rauischholzhausen;H;50.76;8.87;230;1993;Astron;1989;209.9;83.1;ll;84;658.7;8.9;358.7;56;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
857;Rauischholzhausen;H;50.76;8.87;230;1993;Kraka;1982;200;93.8;ll;84;658.7;8.9;358.7;57;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
858;Rauischholzhausen;H;50.76;8.87;230;1993;Kanzler;1980;198.6;88.7;ll;84;658.7;8.9;358.7;58;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
859;Rauischholzhausen;H;50.76;8.87;230;1993;Batis;1994;191;86.2;ll;84;658.7;8.9;358.7;59;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
860;Rauischholzhausen;H;50.76;8.87;230;1993;Orestis;1988;213.6;89.9;ll;84;658.7;8.9;358.7;60;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
861;Rauischholzhausen;H;50.76;8.87;230;1993;Ares;1983;194.1;83.3;ll;84;658.7;8.9;358.7;61;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
862;Rauischholzhausen;H;50.76;8.87;230;1993;Greif;1989;185.8;76.7;ll;84;658.7;8.9;358.7;62;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
863;Rauischholzhausen;H;50.76;8.87;230;1993;Apollo;1984;176.7;84.3;ll;84;658.7;8.9;358.7;63;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
864;Rauischholzhausen;H;50.76;8.87;230;1993;Hai;1991;233.5;89.6;ll;84;658.7;8.9;358.7;64;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
1210;Harste;NDS;51.6;9.87;140;1986;Kraka;1982;194.6;78.1;ll;85.5;720.9;9.1;417.5;10;1.7;73.3;22.8;18;12.1;2;582.2;9.7;6.5;2.3;2160.8;9.6;-0.61;25;-22.18;3.69;133.18;3.08;111;18.8;14.2;8.4;511.6;14.2
1211;Harste;NDS;51.6;9.87;140;1986;Gï¿½ï;1978;223;71.2;ll;85.5;720.9;9.1;417.5;11;1.7;73.3;22.8;18;12.1;2;582.2;9.7;6.5;2.3;2160.8;9.6;-0.61;25;-22.18;3.69;133.18;3.08;111;18.8;14.2;8.4;511.6;14.2
1212;Harste;NDS;51.6;9.87;140;1986;Kanzler;1980;203.8;75.2;ll;85.5;720.9;9.1;417.5;12;1.7;73.3;22.8;18;12.1;2;582.2;9.7;6.5;2.3;2160.8;9.6;-0.61;25;-22.18;3.69;133.18;3.08;111;18.8;14.2;8.4;511.6;14.2
1410;Schrobenhausen;BY;48.56;11.26;415;2005;Flair;1996;201.3;76.3;ls;48;797.9;8.5;498.6;10;2.81;126.6;24.7;19;12.8;2.02;539.7;11;6.7;2.1;2041.1;10.3;-0.97;27;-40.02;3.83;157.32;2.86;117.3;18.9;13.3;7.3;544.4;13.3
1411;Essenbach;BY;48.61;12.21;400;2001;Flair;1996;204.1;86.4;ll;75;741.9;8.7;431.4;11;2.53;139.2;21.1;16.1;10;2.08;563.9;11.5;7.4;3;2088.5;9;-3.05;23;-79.46;4.2;109.36;1.15;29.9;21;15.4;8.3;400.1;15.4
1414;Piering;BY;48.82;12.57;345;2004;Flair;1996;225;90.8;tu;76.5;769.8;8.5;468.7;14;2.5;125.1;22.2;16.6;10.7;1.69;450.3;10.8;6.4;1.8;1872.6;8.8;-1.75;33;-64.88;3.34;123.68;1.58;58.8;18.1;12.6;5.9;464.8;12.6
1415;Piering;BY;48.82;12.57;345;2005;Flair;1996;148.9;77.7;tu;76.5;769.8;8.5;468.7;15;3.05;140.4;23.9;18.2;12.4;1.98;546.7;10.8;6.5;2;2073.2;9.9;-1.46;30;-61.34;3.6;151.24;2.14;89.9;19.1;13.6;7.3;569.7;13.6
1416;Wolfsdorf;BY;50.1;11.02;285;2001;Flair;1996;225;71.7;sl;66;739.8;8.3;436.3;16;3.06;140.9;21.4;16.1;11.1;2.42;655.2;11.2;7.3;3.7;2058.3;8.8;-2.56;35;-107.63;3.93;165.13;1.36;57.5;19.3;14.1;9.1;592.4;14.1
1417;Wolfsdorf;BY;50.1;11.02;285;2002;Flair;1996;211.8;84.6;sl;66;739.8;8.3;436.3;17;2.44;109.9;22.9;17.8;12.7;2.54;679.7;11.2;7.1;3.2;2080.5;9.4;-0.84;31;-34.75;3.55;145.65;2.7;110.9;19;13.9;9;570.2;13.9
1418;Wolfsdorf;BY;50.1;11.02;285;2003;Flair;1996;225;50.5;sl;66;739.8;8.3;436.3;18;1.11;48.9;25.6;19.4;13.1;2.15;571.9;11.5;7;2.6;2046.8;9.7;-1.8;30;-68.64;3.81;144.84;2;76.2;19.7;14.1;8.6;534.8;14.1
1420;Wolfsdorf;BY;50.1;11.02;285;2005;Flair;1996;79.6;73;sl;66;739.8;8.3;436.3;20;2.54;106.8;23.9;17.9;11.8;1.97;519.1;10.7;6.5;2.4;1923.8;9.5;-1.58;25;-56.91;3.53;127.11;1.95;70.2;17.9;12.6;7.3;454.7;12.6
1421;Giebelstadt;BY;49.64;9.95;300;2001;Flair;1996;213.3;94.2;tu;68;649.4;9.1;316.6;21;2.2;99;21.5;16.1;10.7;1.93;499.2;12.1;7.7;3.7;2057.2;9;-3.87;30;-123.99;4.65;148.99;0.78;25;21.2;15.4;9;491.9;15.4
1422;Giebelstadt;BY;49.64;9.95;300;2002;Flair;1996;204.3;84.4;tu;68;649.4;9.1;316.6;22;3.25;140.1;23.7;18.3;12.8;2.52;666.9;12;7.7;3.4;2173.5;9.7;-0.79;30;-34.02;3.45;148.62;2.66;114.6;19;13.8;8.6;593;13.8
1423;Giebelstadt;BY;49.64;9.95;300;2003;Flair;1996;221.6;69;tu;68;649.4;9.1;316.6;23;1.08;44.6;26.5;20.1;13.9;1.66;425;12.3;7.5;3.1;2083.4;10;-1.15;20;-34.69;3.72;111.69;2.56;77;19.8;14.2;8.7;426.4;14.2
1424;Giebelstadt;BY;49.64;9.95;300;2004;Flair;1996;225;89.1;tu;68;649.4;9.1;316.6;24;2.5;115.2;22;16.2;10.4;1.54;373.3;11.9;7.3;2.9;1845.2;9.2;-1.43;32;-55.86;3.25;126.86;1.82;71;18.1;12.2;6;473.9;12.2
1425;Giebelstadt;BY;49.64;9.95;300;2005;Flair;1996;198;78.2;tu;68;649.4;9.1;316.6;25;1.5;61.5;25.1;18.4;11.8;1.64;431.4;11.7;7.2;2.7;2067.7;9.8;-2.21;30;-90.8;3.97;162.8;1.75;72;20;13.7;7.6;561;13.7
1426;Gersthofen;BY;48.42;10.84;475;2001;Flair;1996;225;94.1;sl;74;768.9;8.5;471.8;26;2.6;125.2;21.2;15.6;9.8;2.15;583.9;11.7;7.3;3;2063.5;8.6;-2.28;28;-84.71;4.03;149.21;1.74;64.5;20;14.6;8.2;540.7;14.6
1427;Gersthofen;BY;48.42;10.84;475;2002;Flair;1996;227.1;79.5;sl;74;768.9;8.5;471.8;27;3.34;150.6;23.7;18.1;12.3;2.2;596.5;11.6;7;2.2;2088.2;9.4;-0.94;32;-37.9;3.29;131.9;2.35;94;18.6;13.1;7.2;525.3;13.1
1428;Gersthofen;BY;48.42;10.84;475;2003;Flair;1996;201.5;61.9;sl;74;768.9;8.5;471.8;28;2.69;107.8;26.1;19.7;13.1;1.92;497.3;11.5;6.8;2.1;1989;9.7;-1.85;22;-59.49;3.68;117.89;1.82;58.4;20.2;14.6;8.6;466.2;14.6
1429;Gersthofen;BY;48.42;10.84;475;2004;Flair;1996;166.4;76.7;sl;74;768.9;8.5;471.8;29;1.79;88;22.3;16.8;11.3;1.79;487.5;11.1;6.6;2;1939.4;8.9;-1.35;34;-60.83;3.19;143.93;1.84;83.1;17.6;12.2;5.7;549.3;12.2
1430;Gersthofen;BY;48.42;10.84;475;2005;Flair;1996;242;72.9;sl;74;768.9;8.5;471.8;30;4.01;196.8;23.2;17.8;11.7;2.21;605.4;10.7;6.4;1.8;2050.1;10.2;-1.8;30;-70.52;3.71;144.82;1.9;74.3;18.7;13.2;6.9;513.2;13.2
1610;Gross Gerau;H;49.93;8.5;90;1962;Karat;1956;120;36.9;ls;57.5;637.4;10.6;235.5;10;1.4;74.2;23.2;17.7;12;1.39;379.9;12;7.8;3.5;2245.5;9.9;-2.92;30;-102.51;4;140.31;1.08;37.8;18.2;12.8;7;449.1;12.8
