site;var_name;value;exceldate
Ahaus;precipitation height;0.00;18796
Ahaus;precipitation height;0.10;18797
Ahaus;precipitation height;0.10;18798
Ahaus;precipitation height;0.00;18799
Ahaus;precipitation height;0.00;18800
Ahaus;precipitation height;5.90;18801
Ahaus;precipitation height;2.50;18802
Ahaus;precipitation height;0.10;18803
Ahaus;precipitation height;2.30;18804
Ahaus;precipitation height;6.00;18805
Ahaus;precipitation height;6.60;18806
Ahaus;precipitation height;3.00;18807
Ahaus;precipitation height;0.00;18808
Ahaus;precipitation height;0.00;18809
Ahaus;precipitation height;0.00;18810
Ahaus;precipitation height;0.00;18811
Ahaus;precipitation height;0.70;18812
Ahaus;precipitation height;1.20;18813
Ahaus;precipitation height;0.00;18814
Ahaus;precipitation height;0.00;18815
Ahaus;precipitation height;0.00;18816
Ahaus;precipitation height;1.30;18817
Ahaus;precipitation height;1.30;18818
Ahaus;precipitation height;0.00;18819
Ahaus;precipitation height;16.10;18820
Ahaus;precipitation height;0.00;18821
Ahaus;precipitation height;0.00;18822
Ahaus;precipitation height;18.00;18823
Ahaus;precipitation height;0.20;18824
Ahaus;precipitation height;0.00;18825
Ahaus;precipitation height;0.00;18826
Ahaus;precipitation height;0.00;18827
Ahaus;precipitation height;0.00;18828
Ahaus;precipitation height;0.00;18829
Ahaus;precipitation height;0.00;18830
Ahaus;precipitation height;1.40;18831
Ahaus;precipitation height;10.10;18832
Ahaus;precipitation height;1.40;18833
Ahaus;precipitation height;1.00;18834
Ahaus;precipitation height;0.00;18835
Ahaus;precipitation height;0.00;18836
Ahaus;precipitation height;0.00;18837
Ahaus;precipitation height;0.00;18838
Ahaus;precipitation height;3.10;18839
Ahaus;precipitation height;10.30;18840
Ahaus;precipitation height;0.80;18841
Ahaus;precipitation height;3.30;18842
Ahaus;precipitation height;1.40;18843
Ahaus;precipitation height;7.30;18844
Ahaus;precipitation height;9.40;18845
Ahaus;precipitation height;8.60;18846
Ahaus;precipitation height;3.10;18847
Ahaus;precipitation height;4.50;18848
Ahaus;precipitation height;10.60;18849
Ahaus;precipitation height;1.80;18850
Ahaus;precipitation height;6.00;18851
Ahaus;precipitation height;7.00;18852
Ahaus;precipitation height;1.20;18853
Ahaus;precipitation height;0.00;18854
Ahaus;precipitation height;0.20;18855
Ahaus;precipitation height;2.70;18856
Ahaus;precipitation height;3.00;18857
Ahaus;precipitation height;0.00;18858
Ahaus;precipitation height;14.60;18859
Ahaus;precipitation height;0.00;18860
Ahaus;precipitation height;0.00;18861
Ahaus;precipitation height;0.00;18862
Ahaus;precipitation height;0.00;18863
Ahaus;precipitation height;0.00;18864
Ahaus;precipitation height;0.00;18865
Ahaus;precipitation height;0.00;18866
Ahaus;precipitation height;4.20;18867
Ahaus;precipitation height;0.40;18868
Ahaus;precipitation height;7.50;18869
Ahaus;precipitation height;6.80;18870
Ahaus;precipitation height;0.40;18871
Ahaus;precipitation height;2.70;18872
Ahaus;precipitation height;11.20;18873
Ahaus;precipitation height;0.10;18874
Ahaus;precipitation height;0.00;18875
Ahaus;precipitation height;0.00;18876
Ahaus;precipitation height;0.00;18877
Ahaus;precipitation height;0.00;18878
Ahaus;precipitation height;0.00;18879
Ahaus;precipitation height;5.40;18880
Ahaus;precipitation height;0.00;18881
Ahaus;precipitation height;11.80;18882
Ahaus;precipitation height;0.00;18883
Ahaus;precipitation height;2.70;18884
Ahaus;precipitation height;0.10;18885
Ahaus;precipitation height;0.10;18886
Ahaus;precipitation height;6.10;18887
Ahaus;precipitation height;0.10;18888
Ahaus;precipitation height;5.70;18889
Ahaus;precipitation height;1.30;18890
Ahaus;precipitation height;0.00;18891
Ahaus;precipitation height;0.00;18892
Ahaus;precipitation height;0.00;18893
Ahaus;precipitation height;12.80;18894
Ahaus;precipitation height;0.00;18895
Ahaus;precipitation height;0.00;18896
Ahaus;precipitation height;1.80;18897
Ahaus;precipitation height;0.00;18898
Ahaus;precipitation height;2.50;18899
Ahaus;precipitation height;0.00;18900
Ahaus;precipitation height;0.00;18901
Ahaus;precipitation height;0.00;18902
Ahaus;precipitation height;0.00;18903
Ahaus;precipitation height;0.00;18904
Ahaus;precipitation height;0.00;18905
Ahaus;precipitation height;0.00;18906
Ahaus;precipitation height;0.00;18907
Ahaus;precipitation height;0.00;18908
Ahaus;precipitation height;0.00;18909
Ahaus;precipitation height;0.00;18910
Ahaus;precipitation height;0.00;18911
Ahaus;precipitation height;0.00;18912
Ahaus;precipitation height;0.00;18913
Ahaus;precipitation height;0.00;18914
Ahaus;precipitation height;0.00;18915
Ahaus;precipitation height;0.00;18916
Ahaus;precipitation height;0.00;18917
Ahaus;precipitation height;0.00;18918
Ahaus;precipitation height;0.00;18919
Ahaus;precipitation height;0.00;18920
Ahaus;precipitation height;0.00;18921
Ahaus;precipitation height;0.20;18922
Ahaus;precipitation height;0.00;18923
Ahaus;precipitation height;0.00;18924
Ahaus;precipitation height;0.00;18925
Ahaus;precipitation height;0.00;18926
Ahaus;precipitation height;0.00;18927
Ahaus;precipitation height;0.00;18928
Ahaus;precipitation height;0.10;18929
Ahaus;precipitation height;3.70;18930
Ahaus;precipitation height;5.80;18931
Ahaus;precipitation height;5.20;18932
Ahaus;precipitation height;0.10;18933
Ahaus;precipitation height;0.30;18934
